#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane t_normals_feature t_annot
/home/michal/Downloads/pcddata/raw/annotated/rares/20140820/patrol_run_2/room_1/complete_cloud.pcd 4327973 273315 202835 179969 1.34543 0.500903 0.035542 1.25199 2 14.1868 0.357685 0.0966824
/home/michal/Downloads/pcddata/raw/annotated/rares/20140820/patrol_run_4/room_0/complete_cloud.pcd 4433059 279134 206830 179282 1.46072 0.660261 0.0340663 1.27194 2 14.3379 0.452544 0.0734229
/home/michal/Downloads/pcddata/raw/annotated/rares/20140828/patrol_run_19/room_3/complete_cloud.pcd 4465332 288067 206042 206042 1.35419 0.686429 0.0344781 1.48796 0 10.5313 0.453941 0.0956333
/home/michal/Downloads/pcddata/raw/annotated/rares/20140829/patrol_run_20/room_3/complete_cloud.pcd 4400326 286001 206677 206677 1.41946 0.65602 0.0423988 1.71246 0 10.4492 0.494312 0.12382
/home/michal/Downloads/pcddata/raw/annotated/rares/20140829/patrol_run_26/room_2/complete_cloud.pcd 4428777 287520 205826 205826 1.42503 0.678166 0.0325612 1.25552 0 10.2411 0.427701 0.0795563
/home/michal/Downloads/pcddata/raw/annotated/rares/20140901/patrol_run_27/room_2/complete_cloud.pcd 4326496 277877 199602 173730 1.29275 0.657134 0.0338147 1.34196 2 14.2153 0.367676 0.0675646
/home/michal/Downloads/pcddata/raw/annotated/rares/20140901/patrol_run_31/room_2/complete_cloud.pcd 4127021 266436 189983 165436 1.37204 0.616136 0.0306826 1.23479 2 13.27 0.36199 0.0637467
/home/michal/Downloads/pcddata/raw/annotated/rares/20140901/patrol_run_32/room_2/complete_cloud.pcd 4393258 294026 209124 180856 1.3114 0.644365 0.0376637 1.61197 2 14.5856 0.397769 0.0630189
/home/michal/Downloads/pcddata/raw/annotated/rares/20140901/patrol_run_33/room_1/complete_cloud.pcd 4453838 294947 208408 208408 1.23436 0.523276 0.035443 1.34875 0 10.4297 0.440733 0.00106364
/home/michal/Downloads/pcddata/raw/annotated/rares/20140902/patrol_run_35/room_2/complete_cloud.pcd 4194666 258876 184663 155260 1.3464 0.483411 0.029178 1.06236 2 12.3782 0.310941 0.0713749
/home/michal/Downloads/pcddata/raw/annotated/rares/20140902/patrol_run_38/room_0/complete_cloud.pcd 4053236 264637 182146 156493 1.27875 0.583609 0.0294906 1.14747 2 12.6207 0.319489 0.0585568
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_1/room_4/complete_cloud.pcd 4342611 279701 210111 181244 1.36914 0.550223 0.0309644 1.48917 2 14.4223 0.371269 0.0680077
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_10/room_2/complete_cloud.pcd 4016663 248425 180958 154201 1.33378 0.553743 0.0293699 1.1187 2 12.3376 0.32645 0.068396
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_12/room_2/complete_cloud.pcd 4386779 281459 211158 180969 1.3454 0.603628 0.0330438 1.27779 2 14.5041 0.486708 0.0538975
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_14/room_1/complete_cloud.pcd 4403600 286783 212369 181125 1.34923 0.677158 0.0327302 1.55417 2 14.5794 0.47928 0.070359
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_2/room_4/complete_cloud.pcd 4403118 267779 198151 198151 1.16056 0.639658 0.0381687 1.34672 0 10.009 0.423741 0.136122
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_9/room_2/complete_cloud.pcd 4022868 267579 192951 163464 1.34444 0.629063 0.0396357 1.26335 2 13.0764 0.423457 0.117784
