#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane t_normals_feature t_annot
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_38/room_2/complete_cloud.pcd 4323786 979123 765873 404209 1.50867 0.683256 0.310562 16.2163 8 118.255 1.5032 0.245945
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_39/room_3/complete_cloud.pcd 4336813 916528 733128 406466 1.30696 0.73756 0.110391 15.4771 8 117.758 1.56188 0.326778
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_41/room_3/complete_cloud.pcd 4311336 954254 774635 454516 1.33867 0.867419 0.135217 16.7248 7 112.09 1.69478 0.242283
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_43/room_3/complete_cloud.pcd 4302974 984880 788603 418521 1.31844 0.598227 0.221622 17.6695 8 129.853 1.56549 0.266064
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_45/room_2/complete_cloud.pcd 4355374 964677 781768 505724 1.37441 0.747904 0.124989 17.368 6 108.098 2.04906 0.250003
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_47/room_3/complete_cloud.pcd 4376040 967763 789009 546267 1.51481 0.905628 0.153499 17.2182 6 114.022 2.07035 0.251824
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_49/room_3/complete_cloud.pcd 4365226 994683 795775 427460 1.02564 0.613841 0.255644 17.4152 7 113.203 1.64962 0.205458
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_51/room_3/complete_cloud.pcd 4289105 966928 745319 407163 1.24319 0.734255 0.117835 16.3876 7 103.558 1.59247 0.216803
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_53/room_3/complete_cloud.pcd 4266217 950594 742064 346968 1.40844 0.823662 0.150031 16.8742 10 125.921 1.18851 0.214135
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_55/room_3/complete_cloud.pcd 4363095 1004530 794191 482467 1.25321 0.617784 0.126954 15.3566 6 104.032 1.69687 0.19793
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_59/room_3/complete_cloud.pcd 4286468 994391 775498 377662 1.24171 0.617744 0.269832 15.0781 9 128.809 1.20729 0.24346
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_61/room_3/complete_cloud.pcd 4336816 991509 790940 421811 1.17743 0.758824 0.129711 15.3911 8 122.555 1.39024 0.178106
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_63/room_3/complete_cloud.pcd 4385347 1009341 803851 389185 1.24155 0.742137 0.119898 15.5193 9 135.314 1.29932 0.214236
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_67/room_3/complete_cloud.pcd 4354059 982656 789174 388971 1.24574 0.607533 0.251323 15.1537 9 131.702 1.37281 0.210859
