#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_1/room_4/complete_cloud.pcd 4342611 1012546 857788 654867 1.27219 1.23283 0.156741 40.5847 11 364.245
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_10/room_2/complete_cloud.pcd 4016663 884436 741315 569799 1.56699 1.12911 0.201535 30.7084 10 321.686
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_12/room_2/complete_cloud.pcd 4386779 1007569 868123 693165 1.4729 1.26807 0.244972 42.1256 9 385.354
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_14/room_1/complete_cloud.pcd 4403600 1015982 873761 757706 1.63186 1.24313 0.257044 36.1253 6 279.777
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_2/room_4/complete_cloud.pcd 4403118 958016 821652 661310 1.63486 1.20198 0.121786 33.3982 11 354.659
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_9/room_2/complete_cloud.pcd 4022868 925933 786283 606298 1.42128 0.739518 0.193235 30.8473 11 326.634
/home/michal/Downloads/pcddata/raw/annotated/rares/20140904/patrol_run_15/room_2/complete_cloud.pcd 4387390 988756 842710 662129 1.60128 0.817179 0.110644 33.2434 11 368.98
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_17/room_2/complete_cloud.pcd 4447617 1010755 844683 650173 1.58073 1.26162 0.234829 33.1549 11 367.083
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_19/room_1/complete_cloud.pcd 4404764 1002696 842177 643847 1.50303 1.23105 0.231096 31.7406 11 362.676
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_21/room_2/complete_cloud.pcd 4412085 1024138 841413 713630 1.61391 1.22622 0.233658 32.9531 8 343.05
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_23/room_2/complete_cloud.pcd 4301854 949841 799893 633683 1.54176 1.08051 0.221188 36.2882 10 353.611
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_25/room_1/complete_cloud.pcd 4151755 929727 761641 560242 1.58053 1.16384 0.21293 28.661 10 288.398
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_27/room_2/complete_cloud.pcd 4130589 905880 757250 563395 1.33737 1.13168 0.246533 30.7013 11 306.454
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_29/room_2/complete_cloud.pcd 3962959 909832 741006 573364 1.41208 1.11555 0.201273 30.3538 11 341.222
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_30/room_1/complete_cloud.pcd 4125120 914268 760852 556947 1.57855 1.1747 0.213804 31.2565 11 324.99
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_30/room_7/complete_cloud.pcd 4444767 1008899 838936 641552 1.63227 1.13465 0.120323 31.9328 11 357.752
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_32/room_2/complete_cloud.pcd 4342591 1005515 843552 661628 1.62075 1.22123 0.242648 36.1332 11 371.528
