#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane t_normals_feature
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_77/room_4/complete_cloud.pcd 4004122 474858 356482 302871 1.00611 0.390349 0.926261 2.77963 2 17.5782 0.614155
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_79/room_2/complete_cloud.pcd 4123753 444530 341220 286933 0.947268 0.403414 0.994511 2.40796 2 16.6905 0.541741
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_81/room_2/complete_cloud.pcd 4432224 507076 386698 276847 1.00585 0.439824 0.914729 3.02651 4 28.8629 0.519653
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_82/room_3/complete_cloud.pcd 4411490 501382 391813 360015 1.03419 0.428589 1.10574 2.94577 2 20.253 0.70119
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_88/room_3/complete_cloud.pcd 4262780 461405 355369 256669 1.03226 0.411821 1.08724 2.60685 4 27.2143 0.463318
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_90/room_3/complete_cloud.pcd 4225983 458732 343107 214195 1.08167 0.424104 1.69562 2.46874 5 28.8631 0.383122
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_92/room_3/complete_cloud.pcd 4163218 448677 331818 203775 1.06594 0.402041 1.89087 2.682 5 27.5889 0.373274
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_100/room_3/complete_cloud.pcd 4365323 499948 379579 299966 1.02884 0.425833 1.25888 3.07392 3 23.9979 0.570566
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_102/room_3/complete_cloud.pcd 4349391 496981 368022 247258 1.00255 0.422292 0.977458 3.01994 4 27.4752 0.492668
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_104/room_3/complete_cloud.pcd 4341724 478585 369001 260375 1.04756 0.422416 1.26664 3.13191 4 27.9795 0.52343
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_94/room_3/complete_cloud.pcd 4370985 474784 366772 249627 1.13863 0.438311 1.44011 3.12783 4 27.6526 0.517094
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_96/room_2/complete_cloud.pcd 4409262 486471 370776 282871 1.09729 0.427972 1.18616 3.1215 3 23.1655 0.607165
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_98/room_3/complete_cloud.pcd 4390261 491148 371505 307320 1.07568 0.456529 1.42338 3.31598 3 24.5404 0.689017
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_110/room_2/complete_cloud.pcd 4445985 521169 394518 219987 1.1132 0.47878 0.841351 3.64851 7 78.675 1.31895
