#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_annot t_normals t_normals_feature n_plane t_plane
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_59/room_3/complete_cloud.pcd 4286468 994391 830794 507198 4.45261 0.63342 0.184458 16.2429 6 109.196 1.71762 3.57271
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_61/room_3/complete_cloud.pcd 4336816 991509 840502 502819 3.627 0.585466 0.157945 16.2827 8 141.368 1.72334 1.06383
/home/michal/Downloads/pcddata/raw/annotated/rares/20140909/patrol_run_63/room_3/complete_cloud.pcd 4385347 1009341 860814 464241 2.2628 0.58998 0.156002 17.8263 9 147.077 1.49669 1.23956
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_67/room_3/complete_cloud.pcd 4354059 982656 829084 476436 1.37917 0.58346 0.108252 16.5784 7 119.075 1.56829 1.6897
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_69/room_3/complete_cloud.pcd 4331055 979579 831985 478527 2.06194 0.578633 0.102294 16.2475 7 119.956 1.56228 1.59932
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_71/room_3/complete_cloud.pcd 4320174 1000590 849600 458544 1.13454 0.580584 0.124338 16.7164 9 148.036 1.60697 1.08285
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_74/room_3/complete_cloud.pcd 4230636 966919 807989 446129 1.30654 0.591743 0.115381 16.9757 7 114.065 1.58789 1.45092
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_77/room_4/complete_cloud.pcd 4004122 958326 800222 496593 0.932303 0.586082 0.109981 16.4706 6 105.716 1.78101 1.34956
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_79/room_2/complete_cloud.pcd 4123753 910096 762698 404733 1.03383 0.598941 0.104413 15.8927 8 118.752 1.45977 1.35149
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_81/room_2/complete_cloud.pcd 4432224 1029226 870347 439949 2.14918 0.630353 0.115946 18.3249 9 148.526 1.61134 1.19254
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_82/room_3/complete_cloud.pcd 4411490 1018143 859381 467560 1.82627 0.619809 0.127682 18.3558 8 133.813 1.7532 1.52483
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_84/room_3/complete_cloud.pcd 4431435 1010718 844733 446912 1.15029 0.636772 0.110651 18.8923 8 132.941 1.66882 1.54773
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_88/room_3/complete_cloud.pcd 4262780 942839 800950 430145 1.72852 0.595016 0.107124 17.4459 7 114.712 1.54917 1.43598
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_90/room_3/complete_cloud.pcd 4225983 928244 785370 572192 1.12275 0.602781 0.111267 16.8805 5 97.8307 2.15026 2.43173
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_92/room_3/complete_cloud.pcd 4163218 908452 759477 478197 1.2666 0.599288 0.104635 16.1589 6 101.142 1.60765 2.61714
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_100/room_3/complete_cloud.pcd 4365323 1007919 848250 458274 1.22692 0.610556 0.113512 16.8586 8 133.91 1.64463 1.56191
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_102/room_3/complete_cloud.pcd 4349391 1000891 821687 439830 1.70585 0.63192 0.117299 17.6778 7 116.376 1.57379 1.37115
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_104/room_3/complete_cloud.pcd 4341724 974195 832344 442047 1.24778 0.591708 0.108576 17.214 8 128.179 1.54823 1.56359
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_94/room_3/complete_cloud.pcd 4370985 973739 822722 467117 1.16091 0.602866 0.108461 17.1356 8 134.69 1.65522 1.72613
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_96/room_2/complete_cloud.pcd 4409262 991341 842179 415929 1.18168 0.618513 0.114267 16.3923 11 153.15 1.47129 1.29066
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_98/room_3/complete_cloud.pcd 4390261 1000772 843735 469156 1.00306 0.60638 0.112834 17.827 8 138.246 1.69073 1.56191
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_110/room_2/complete_cloud.pcd 4445985 1055005 890999 494163 1.08438 0.61267 0.123961 20.1807 8 141.417 1.69475 0.899039
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_112/room_2/complete_cloud.pcd 4446419 1017747 871970 457162 1.12949 0.619629 0.122882 18.2501 8 134.984 1.59507 2.1178
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_114/room_1/complete_cloud.pcd 4444169 1036381 865394 421552 1.10362 0.627671 0.161503 19.142 9 148.871 1.53658 1.12409
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_116/room_2/complete_cloud.pcd 4452197 1029352 861009 475155 1.14881 0.62915 0.127219 18.4063 7 120.853 1.71443 1.19494
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_118/room_2/complete_cloud.pcd 4444445 1022899 860220 453946 1.1516 0.617071 0.157059 18.6167 8 134.908 1.75728 1.7226
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_120/room_1/complete_cloud.pcd 4455102 983004 832785 440514 1.11098 0.628969 0.118894 17.6403 8 129.009 1.64772 3.44223
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_124/room_2/complete_cloud.pcd 4494090 1024038 869118 606395 1.18872 0.641719 0.138131 18.8105 5 104.656 2.26178 1.93421
