#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals t_normals_feature n_plane t_plane
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_10/room_2/complete_cloud.pcd 4016663 884436 741315 458473 1.3173 0.68838 0.175243 3.30238 1.48604 6 152.451
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_12/room_2/complete_cloud.pcd 4386779 1007569 868123 547806 1.16769 1.23989 0.229851 5.17293 1.87864 7 189.838
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_14/room_1/complete_cloud.pcd 4403600 1015982 873761 580150 1.32291 1.10776 0.214367 5.09578 1.88083 6 191.797
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_2/room_4/complete_cloud.pcd 4403118 958016 821652 514036 1.32831 1.04361 0.199384 4.01763 1.66145 7 158.701
/home/michal/Downloads/pcddata/raw/annotated/rares/20140903/patrol_run_9/room_2/complete_cloud.pcd 4022868 925933 786283 502669 1.35584 0.752369 0.100847 3.65179 1.53402 6 152.848
/home/michal/Downloads/pcddata/raw/annotated/rares/20140904/patrol_run_15/room_2/complete_cloud.pcd 4387390 988756 842710 535120 1.20986 1.00978 0.23617 4.86444 1.57294 7 229.641
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_17/room_2/complete_cloud.pcd 4447617 1010755 844683 535196 1.34657 1.13017 0.221887 4.92999 1.73892 7 207.48
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_19/room_1/complete_cloud.pcd 4404764 1002696 842177 572348 1.23484 1.03816 0.225965 4.9077 1.77549 6 206.329
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_21/room_2/complete_cloud.pcd 4412085 1024138 841413 506191 1.25999 1.02216 0.228297 4.26209 1.74614 9 201.836
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_23/room_2/complete_cloud.pcd 4301854 949841 799893 511456 1.25058 0.950454 0.201849 3.80919 1.40192 6 186.569
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_25/room_1/complete_cloud.pcd 4151755 929727 761641 442011 1.07173 1.18589 0.225004 3.93697 1.47398 7 160.853
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_27/room_2/complete_cloud.pcd 4130589 905880 757250 466377 1.28074 0.623782 0.0749807 3.84084 1.19603 7 147.04
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_29/room_2/complete_cloud.pcd 3962959 909832 741006 484949 1.30992 1.08436 0.203377 3.82194 1.33396 5 141.294
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_30/room_1/complete_cloud.pcd 4125120 914268 760852 472924 1.32036 1.07335 0.194294 3.76916 1.7469 6 163.143
/home/michal/Downloads/pcddata/raw/annotated/rares/20140905/patrol_run_30/room_7/complete_cloud.pcd 4444767 1008899 838936 512346 1.75134 1.12484 0.251696 4.32888 1.71902 8 206.466
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_32/room_2/complete_cloud.pcd 4342591 1005515 843552 574968 2.43206 1.17304 0.226558 4.16563 1.76117 6 186.312
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_34/room_2/complete_cloud.pcd 4345083 978534 816880 570567 2.53961 1.13758 0.230015 3.93772 1.79838 6 160.537
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_36/room_3/complete_cloud.pcd 4340865 965566 809858 530186 3.26148 1.17139 0.232065 3.97453 1.63245 7 166.926
/home/michal/Downloads/pcddata/raw/annotated/rares/20140908/patrol_run_38/room_2/complete_cloud.pcd 4323786 979123 807706 568957 2.52585 1.17736 0.223847 3.9494 2.18403 5 141.548
