# score parent cluster region
97 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140902/patrol_run_38/room_0/clusters/pillow_cluster_shotcolor_iss_0_97.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140902/patrol_run_38/room_0/clusters/pillow_region_shotcolor_iss_0.pcd
95 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_1/room_4/clusters/pillow_cluster_shotcolor_iss_0_95.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_1/room_4/clusters/pillow_region_shotcolor_iss_0.pcd
72 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_10/room_2/clusters/pillow_cluster_shotcolor_iss_0_72.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_10/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
119 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_12/room_2/clusters/pillow_cluster_shotcolor_iss_0_119.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_12/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
134 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_14/room_1/clusters/pillow_cluster_shotcolor_iss_0_134.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_14/room_1/clusters/pillow_region_shotcolor_iss_0.pcd
126 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_2/room_4/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_2/room_4/clusters/pillow_cluster_shotcolor_iss_0_126.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_2/room_4/clusters/pillow_region_shotcolor_iss_0.pcd
133 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_9/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_9/room_2/clusters/pillow_cluster_shotcolor_iss_0_133.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140903/patrol_run_9/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
202 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140904/patrol_run_15/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140904/patrol_run_15/room_2/clusters/pillow_cluster_shotcolor_iss_0_202.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140904/patrol_run_15/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
141 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_17/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_17/room_2/clusters/pillow_cluster_shotcolor_iss_0_141.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_17/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
60 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_19/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_19/room_1/clusters/pillow_cluster_shotcolor_iss_0_60.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_19/room_1/clusters/pillow_region_shotcolor_iss_0.pcd
147 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_21/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_21/room_2/clusters/pillow_cluster_shotcolor_iss_0_147.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_21/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
102 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_23/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_23/room_2/clusters/pillow_cluster_shotcolor_iss_0_102.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_23/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
207 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_25/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_25/room_1/clusters/pillow_cluster_shotcolor_iss_0_207.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_25/room_1/clusters/pillow_region_shotcolor_iss_0.pcd
146 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_27/room_2/clusters/pillow_cluster_shotcolor_iss_0_146.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_27/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
275 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_29/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_29/room_2/clusters/pillow_cluster_shotcolor_iss_0_275.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_29/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
122 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_30/room_1/clusters/pillow_cluster_shotcolor_iss_0_122.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_30/room_1/clusters/pillow_region_shotcolor_iss_0.pcd
232 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_7/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_30/room_7/clusters/pillow_cluster_shotcolor_iss_0_232.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140905/patrol_run_30/room_7/clusters/pillow_region_shotcolor_iss_0.pcd
133 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_32/room_2/clusters/pillow_cluster_shotcolor_iss_0_133.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_32/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
242 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_34/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_34/room_2/clusters/pillow_cluster_shotcolor_iss_0_242.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_34/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
65 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_36/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_36/room_3/clusters/pillow_cluster_shotcolor_iss_0_65.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_36/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
109 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_38/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_38/room_2/clusters/pillow_cluster_shotcolor_iss_0_109.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_38/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
107 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_39/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_39/room_3/clusters/pillow_cluster_shotcolor_iss_0_107.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_39/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
188 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_41/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_41/room_3/clusters/pillow_cluster_shotcolor_iss_0_188.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_41/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
117 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_43/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_43/room_3/clusters/pillow_cluster_shotcolor_iss_0_117.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_43/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
85 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_45/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_45/room_2/clusters/pillow_cluster_shotcolor_iss_0_85.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140908/patrol_run_45/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
